time_iso8601,stars_cumulative
2020-09-28 00:00:00+00:00,1
2023-03-13 00:00:00+00:00,2
2023-04-04 00:00:00+00:00,3
2023-06-21 00:00:00+00:00,4
2023-07-11 00:00:00+00:00,5
2023-10-01 00:00:00+00:00,6
2024-06-04 00:00:00+00:00,7
