time_iso8601,forks_cumulative
2023-04-03 00:00:00+00:00,1
2023-05-12 00:00:00+00:00,2
2023-06-21 00:00:00+00:00,3
2023-08-17 00:00:00+00:00,4
2023-10-01 00:00:00+00:00,5
2023-12-27 00:00:00+00:00,6
