url_path,views_total,views_unique
/nanlabs/automation-seed,18,5
/nanlabs/automation-seed/issues,17,3
/nanlabs/automation-seed/issues/20,12,3
/nanlabs/automation-seed/pulls,10,3
/nanlabs/automation-seed/blob/main/.github/workflows/automation_exec.yml,10,2
/nanlabs/automation-seed/tree/main/.github,10,2
/nanlabs/automation-seed/tree/main/.github/workflows,10,2
/nanlabs/automation-seed/blob/main/.github/workflows/pull_request.yml,8,2
/nanlabs/automation-seed/actions/workflows/periodic.yml,5,2
/nanlabs/automation-seed/actions,3,2
