url_path,views_total,views_unique
/nanlabs/devops-reference/commits/main,34,2
/nanlabs/devops-reference/tree/main/examples/serverless-documentdb,32,2
/nanlabs/devops-reference/tree/main/examples/serverless-documentdb/resource,27,1
/nanlabs/devops-reference/tree/feature/create-guide-security-assessments/examples/security-assessments-guide/scan,26,2
/nanlabs/devops-reference/tree/main/examples/serverless/serverless-rds-postgres,19,7
/nanlabs/devops-reference,18,11
/nanlabs/devops-reference/blob/main/examples/serverless-documentdb/serverless.yml,18,2
/nanlabs/devops-reference/tree/feature/create-guide-security-assessments/examples/security-assessments-guide,18,2
/nanlabs/devops-reference/tree/main/examples,16,7
/nanlabs/devops-reference/tree/main/examples/serverless/serverless-middy,13,2
