time_iso8601,stars_cumulative
2023-02-07 00:00:00+00:00,5
2023-04-17 00:00:00+00:00,6
2023-04-19 00:00:00+00:00,7
2023-05-03 00:00:00+00:00,8
2023-05-19 00:00:00+00:00,9
2023-06-01 00:00:00+00:00,10
2023-10-17 00:00:00+00:00,16
2023-10-24 00:00:00+00:00,17
2023-10-31 00:00:00+00:00,18
2024-07-04 00:00:00+00:00,19
