time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-29 00:00:00+00:00,4,1,0,0
2024-03-01 00:00:00+00:00,4,1,0,0
2024-03-02 00:00:00+00:00,6,2,0,0
2024-03-03 00:00:00+00:00,4,1,9,1
2024-03-04 00:00:00+00:00,6,3,3,1
2024-03-05 00:00:00+00:00,4,1,0,0
2024-03-06 00:00:00+00:00,4,1,1,1
2024-03-07 00:00:00+00:00,4,1,0,0
2024-03-08 00:00:00+00:00,4,1,9,2
2024-03-09 00:00:00+00:00,6,2,5,1
2024-03-10 00:00:00+00:00,5,2,0,0
2024-03-11 00:00:00+00:00,6,3,2,1
2024-03-12 00:00:00+00:00,4,1,2,1
2024-03-13 00:00:00+00:00,4,1,0,0
2024-03-14 00:00:00+00:00,5,2,0,0
2024-03-15 00:00:00+00:00,4,1,11,2
2024-03-16 00:00:00+00:00,5,1,0,0
2024-03-17 00:00:00+00:00,4,1,0,0
2024-03-18 00:00:00+00:00,5,2,1,1
2024-03-19 00:00:00+00:00,4,1,0,0
2024-03-20 00:00:00+00:00,4,1,0,0
2024-03-21 00:00:00+00:00,4,1,0,0
2024-03-22 00:00:00+00:00,4,1,0,0
2024-03-23 00:00:00+00:00,5,1,0,0
2024-03-24 00:00:00+00:00,4,1,1,1
2024-03-25 00:00:00+00:00,5,2,0,0
2024-03-26 00:00:00+00:00,4,1,0,0
2024-03-27 00:00:00+00:00,5,2,0,0
2024-03-28 00:00:00+00:00,5,2,4,1
2024-03-29 00:00:00+00:00,5,2,0,0
2024-03-30 00:00:00+00:00,5,1,0,0
2024-03-31 00:00:00+00:00,4,1,0,0
2024-04-01 00:00:00+00:00,5,2,0,0
2024-04-02 00:00:00+00:00,4,1,2,1
2024-04-03 00:00:00+00:00,4,1,8,1
2024-04-04 00:00:00+00:00,5,2,0,0
2024-04-05 00:00:00+00:00,5,2,0,0
2024-04-06 00:00:00+00:00,6,2,0,0
2024-04-07 00:00:00+00:00,4,1,0,0
2024-04-08 00:00:00+00:00,5,2,0,0
2024-04-09 00:00:00+00:00,4,1,6,3
2024-04-10 00:00:00+00:00,4,1,0,0
2024-04-11 00:00:00+00:00,4,1,25,5
2024-04-12 00:00:00+00:00,4,1,0,0
2024-04-13 00:00:00+00:00,5,1,0,0
2024-04-14 00:00:00+00:00,4,1,0,0
2024-04-15 00:00:00+00:00,5,2,2,1
2024-04-16 00:00:00+00:00,4,1,3,1
2024-04-17 00:00:00+00:00,4,1,4,2
2024-04-18 00:00:00+00:00,4,1,5,2
2024-04-19 00:00:00+00:00,4,1,8,1
2024-04-20 00:00:00+00:00,5,1,2,2
2024-04-21 00:00:00+00:00,4,1,6,2
2024-04-22 00:00:00+00:00,7,4,3,1
2024-04-23 00:00:00+00:00,39,2,2,2
2024-04-24 00:00:00+00:00,4,1,6,3
2024-04-25 00:00:00+00:00,4,1,5,1
2024-04-26 00:00:00+00:00,13,3,24,1
2024-04-27 00:00:00+00:00,6,2,0,0
2024-04-28 00:00:00+00:00,34,5,9,1
2024-04-29 00:00:00+00:00,9,6,31,6
2024-04-30 00:00:00+00:00,5,2,13,2
2024-05-01 00:00:00+00:00,4,1,2,1
2024-05-02 00:00:00+00:00,6,2,20,3
2024-05-03 00:00:00+00:00,16,3,10,6
2024-05-04 00:00:00+00:00,8,4,3,3
2024-05-05 00:00:00+00:00,4,1,3,3
2024-05-06 00:00:00+00:00,37,5,20,11
2024-05-07 00:00:00+00:00,5,2,0,0
2024-05-08 00:00:00+00:00,4,1,1,1
2024-05-09 00:00:00+00:00,4,1,0,0
2024-05-10 00:00:00+00:00,17,4,11,3
2024-05-11 00:00:00+00:00,5,1,0,0
2024-05-12 00:00:00+00:00,33,8,9,1
2024-05-13 00:00:00+00:00,10,6,3,1
2024-05-14 00:00:00+00:00,4,1,0,0
2024-05-15 00:00:00+00:00,4,1,0,0
2024-05-16 00:00:00+00:00,4,1,0,0
2024-05-17 00:00:00+00:00,4,1,13,1
2024-05-18 00:00:00+00:00,6,2,0,0
2024-05-19 00:00:00+00:00,4,1,0,0
2024-05-20 00:00:00+00:00,5,2,0,0
2024-05-21 00:00:00+00:00,6,3,0,0
2024-05-22 00:00:00+00:00,4,1,6,1
2024-05-23 00:00:00+00:00,5,2,3,2
2024-05-24 00:00:00+00:00,6,3,1,1
2024-05-25 00:00:00+00:00,5,1,1,1
2024-05-26 00:00:00+00:00,4,1,0,0
2024-05-27 00:00:00+00:00,6,3,0,0
2024-05-28 00:00:00+00:00,4,1,0,0
2024-05-29 00:00:00+00:00,5,2,0,0
2024-05-30 00:00:00+00:00,5,2,0,0
2024-05-31 00:00:00+00:00,4,1,0,0
2024-06-01 00:00:00+00:00,5,1,0,0
2024-06-02 00:00:00+00:00,4,1,0,0
2024-06-03 00:00:00+00:00,6,3,0,0
2024-06-04 00:00:00+00:00,5,2,0,0
2024-06-05 00:00:00+00:00,4,1,0,0
2024-06-06 00:00:00+00:00,4,1,0,0
2024-06-07 00:00:00+00:00,4,1,165,1
2024-06-08 00:00:00+00:00,7,2,0,0
2024-06-09 00:00:00+00:00,4,1,0,0
2024-06-10 00:00:00+00:00,6,3,0,0
2024-06-11 00:00:00+00:00,6,1,2,1
2024-06-12 00:00:00+00:00,4,1,14,1
2024-06-13 00:00:00+00:00,5,2,0,0
2024-06-14 00:00:00+00:00,4,1,2,1
2024-06-15 00:00:00+00:00,5,1,0,0
2024-06-16 00:00:00+00:00,4,1,0,0
2024-06-17 00:00:00+00:00,4,1,1,1
2024-06-18 00:00:00+00:00,4,1,4,1
2024-06-19 00:00:00+00:00,4,1,0,0
2024-06-20 00:00:00+00:00,4,1,0,0
2024-06-21 00:00:00+00:00,4,1,2,1
2024-06-22 00:00:00+00:00,5,1,0,0
2024-06-23 00:00:00+00:00,4,1,2,1
2024-06-24 00:00:00+00:00,5,2,1,1
2024-06-25 00:00:00+00:00,5,2,0,0
2024-06-26 00:00:00+00:00,6,1,0,0
2024-06-27 00:00:00+00:00,4,1,28,6
2024-06-28 00:00:00+00:00,4,1,0,0
2024-06-29 00:00:00+00:00,5,1,0,0
2024-06-30 00:00:00+00:00,4,1,0,0
2024-07-01 00:00:00+00:00,4,1,22,2
2024-07-02 00:00:00+00:00,4,1,3,2
2024-07-03 00:00:00+00:00,4,1,0,0
2024-07-04 00:00:00+00:00,4,1,194,3
2024-07-05 00:00:00+00:00,4,1,0,0
2024-07-06 00:00:00+00:00,5,1,1,1
2024-07-07 00:00:00+00:00,4,1,0,0
2024-07-08 00:00:00+00:00,4,1,0,0
2024-07-09 00:00:00+00:00,4,1,0,0
2024-07-10 00:00:00+00:00,4,1,1,1
2024-07-11 00:00:00+00:00,4,1,6,1
2024-07-12 00:00:00+00:00,4,1,5,2
2024-07-13 00:00:00+00:00,5,1,0,0
2024-07-14 00:00:00+00:00,4,1,0,0
2024-07-15 00:00:00+00:00,6,3,4,1
2024-07-16 00:00:00+00:00,4,1,0,0
2024-07-17 00:00:00+00:00,4,1,0,0
2024-07-18 00:00:00+00:00,4,1,0,0
2024-07-19 00:00:00+00:00,4,1,0,0
2024-07-20 00:00:00+00:00,5,1,0,0
2024-07-21 00:00:00+00:00,4,1,2,1
2024-07-22 00:00:00+00:00,4,1,0,0
2024-07-23 00:00:00+00:00,4,1,0,0
2024-07-24 00:00:00+00:00,4,1,0,0
2024-07-25 00:00:00+00:00,4,1,0,0
2024-07-26 00:00:00+00:00,8,3,0,0
2024-07-27 00:00:00+00:00,5,1,0,0
2024-07-28 00:00:00+00:00,4,1,0,0
2024-07-29 00:00:00+00:00,5,2,0,0
2024-07-30 00:00:00+00:00,5,2,1,1
