time_iso8601,stars_cumulative
2023-10-17 00:00:00+00:00,9
2023-10-19 00:00:00+00:00,10
2023-10-24 00:00:00+00:00,11
2023-10-26 00:00:00+00:00,12
2023-10-29 00:00:00+00:00,13
2023-10-31 00:00:00+00:00,14
2024-02-26 00:00:00+00:00,15
2024-03-09 00:00:00+00:00,16
2024-07-04 00:00:00+00:00,17
