time_iso8601,forks_cumulative
2022-10-05 00:00:00+00:00,1
2022-10-21 00:00:00+00:00,2
2022-10-22 00:00:00+00:00,3
2022-10-25 00:00:00+00:00,4
2022-11-25 00:00:00+00:00,5
2022-12-15 00:00:00+00:00,6
2023-03-22 00:00:00+00:00,7
2023-04-04 00:00:00+00:00,8
2023-05-16 00:00:00+00:00,9
2023-10-30 00:00:00+00:00,10
2023-12-06 00:00:00+00:00,11
2023-12-20 00:00:00+00:00,12
2024-03-06 00:00:00+00:00,13
2024-06-07 00:00:00+00:00,14
2024-07-25 00:00:00+00:00,15
