time_iso8601,forks_cumulative
2022-10-06 00:00:00+00:00,1
2022-10-12 00:00:00+00:00,2
2022-10-19 00:00:00+00:00,3
2022-10-20 00:00:00+00:00,4
2022-12-07 00:00:00+00:00,5
2023-09-21 00:00:00+00:00,6
2023-10-31 00:00:00+00:00,7
