time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-02 00:00:00+00:00,34,18,13.0,3.0
2025-06-03 00:00:00+00:00,25,15,10.0,2.0
2025-06-04 00:00:00+00:00,33,14,5.0,4.0
2025-06-05 00:00:00+00:00,34,16,1.0,1.0
2025-06-06 00:00:00+00:00,33,18,2.0,1.0
2025-06-07 00:00:00+00:00,34,16,4.0,3.0
2025-06-08 00:00:00+00:00,34,17,,
2025-06-09 00:00:00+00:00,45,19,,
2025-06-10 00:00:00+00:00,33,17,4.0,2.0
2025-06-11 00:00:00+00:00,37,31,1.0,1.0
2025-06-12 00:00:00+00:00,31,24,,
2025-06-13 00:00:00+00:00,32,25,,
2025-06-14 00:00:00+00:00,43,35,,
2025-06-15 00:00:00+00:00,6,1,,
