time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-09 00:00:00+00:00,41,17,,
2025-05-10 00:00:00+00:00,31,15,,
2025-05-11 00:00:00+00:00,32,17,1.0,1.0
2025-05-12 00:00:00+00:00,36,15,,
2025-05-13 00:00:00+00:00,31,16,,
2025-05-14 00:00:00+00:00,22,12,,
2025-05-15 00:00:00+00:00,41,16,1.0,1.0
2025-05-16 00:00:00+00:00,38,17,,
2025-05-17 00:00:00+00:00,23,14,,
2025-05-18 00:00:00+00:00,43,18,1.0,1.0
2025-05-19 00:00:00+00:00,24,14,,
2025-05-20 00:00:00+00:00,34,16,2.0,2.0
2025-05-21 00:00:00+00:00,28,13,,
2025-05-22 00:00:00+00:00,7,1,,
