time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-03 00:00:00+00:00,49,17,1,1
2026-09-04 00:00:00+00:00,54,22,0,0
2026-09-05 00:00:00+00:00,93,45,0,0
2026-09-06 00:00:00+00:00,105,56,0,0
2026-09-07 00:00:00+00:00,75,49,0,0
2026-09-08 00:00:00+00:00,37,30,0,0
2026-09-09 00:00:00+00:00,56,26,1,1
2026-09-10 00:00:00+00:00,162,57,7,2
2026-09-11 00:00:00+00:00,103,35,1,1
2026-09-12 00:00:00+00:00,132,61,0,0
2026-09-13 00:00:00+00:00,74,41,1,1
2026-09-14 00:00:00+00:00,43,23,0,0
2026-09-15 00:00:00+00:00,61,31,6,2
2026-09-16 00:00:00+00:00,136,50,2,1
