url_path,views_total,views_unique
/Create-Node-App/create-node-app,66,49
/Create-Node-App/create-node-app/tree/main/packages,11,5
/Create-Node-App/create-node-app/tree/main/packages/create-node-app-core,10,3
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app/src,9,2
/Create-Node-App/create-node-app/tree/main/tools/danger,8,2
/Create-Node-App/create-node-app/blob/main/package.json,7,3
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app,6,2
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/src/index.ts,4,2
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/index.js,2,1
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/src/options.ts,2,1
