url_path,views_total,views_unique
/Create-Node-App/create-node-app,38,33
/Create-Node-App/create-node-app/tree/main/packages/create-node-app-core,2,2
/Create-Node-App/create-node-app/commit/5a03e5d418aa959caa31e1904091c1bfbe4eb731,2,1
/Create-Node-App/create-node-app/commit/9d46499ea322076a7ff27cdfb234784ca03b6411,2,1
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app,2,1
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app/src,2,1
/Create-Node-App/create-node-app/actions/caches,1,1
/Create-Node-App/create-node-app/actions/runs/23544609857/workflow,1,1
/Create-Node-App/create-node-app/actions/runs/23630852074/workflow,1,1
/Create-Node-App/create-node-app/actions/runs/23727878627/workflow,1,1
