url_path,views_total,views_unique
/Create-Node-App/create-node-app,74,56
/Create-Node-App/create-node-app/tree/main/packages,8,6
/Create-Node-App/create-node-app/pulls,7,3
/Create-Node-App/create-node-app/issues,4,3
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app,4,3
/Create-Node-App/create-node-app/blob/main/package.json,3,2
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/src/index.ts,2,2
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/src/templates.ts,2,2
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app/src,2,2
/Create-Node-App/create-node-app/actions,1,1
