url_path,views_total,views_unique
/Create-Node-App/create-node-app,118,78
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app,36,7
/Create-Node-App/create-node-app/tree/main/packages,30,9
/Create-Node-App/create-node-app/blob/main/package.json,21,9
/Create-Node-App/create-node-app/tree/main/packages/create-node-app-core,16,5
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/index.js,14,5
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/package.json,10,4
/Create-Node-App/create-node-app/blob/main/packages/create-awesome-node-app/src/templates.ts,7,3
/Create-Node-App/create-node-app/pulls,7,2
/Create-Node-App/create-node-app/blob/main/packages/create-node-app-core/index.ts,6,3
