url_path,views_total,views_unique
/Create-Node-App/create-node-app,38,31
/Create-Node-App/create-node-app/tree/main/packages,4,3
/Create-Node-App/create-node-app/tree/main,3,1
/Create-Node-App/create-node-app/tree/main/packages/create-awesome-node-app,2,2
/Create-Node-App/create-node-app/blob/main/.github/CODE_OF_CONDUCT.md,2,1
/Create-Node-App/create-node-app/actions/runs/16535469319/job/46768988041,1,1
/Create-Node-App/create-node-app/actions/runs/16535469319/job/46768988061,1,1
/Create-Node-App/create-node-app/actions/runs/16570190635/job/46860063971,1,1
/Create-Node-App/create-node-app/actions/runs/16570190635/usage,1,1
/Create-Node-App/create-node-app/actions/runs/16570190635/workflow,1,1
