time_iso8601,stars_cumulative
2022-06-03 00:00:00+00:00,1
2022-06-04 00:00:00+00:00,2
2022-08-09 00:00:00+00:00,4
2022-09-01 00:00:00+00:00,5
2023-02-07 00:00:00+00:00,6
2023-04-04 00:00:00+00:00,7
2023-04-19 00:00:00+00:00,8
2023-04-20 00:00:00+00:00,10
2023-04-28 00:00:00+00:00,11
2023-06-17 00:00:00+00:00,12
2023-10-17 00:00:00+00:00,18
2023-10-24 00:00:00+00:00,19
