time_iso8601,forks_cumulative
2023-09-23 00:00:00+00:00,1
2024-04-07 00:00:00+00:00,2
2024-10-11 00:00:00+00:00,3
2024-10-31 00:00:00+00:00,4
2025-01-11 00:00:00+00:00,5
2025-02-13 00:00:00+00:00,6
2025-02-27 00:00:00+00:00,7
