time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-29 00:00:00+00:00,8,1,1,1
2024-03-01 00:00:00+00:00,9,1,0,0
2024-03-02 00:00:00+00:00,8,1,0,0
2024-03-03 00:00:00+00:00,8,1,1,1
2024-03-04 00:00:00+00:00,9,2,24,2
2024-03-05 00:00:00+00:00,8,1,0,0
2024-03-06 00:00:00+00:00,8,1,9,1
2024-03-07 00:00:00+00:00,8,1,0,0
2024-03-08 00:00:00+00:00,13,3,11,2
2024-03-09 00:00:00+00:00,8,1,0,0
2024-03-10 00:00:00+00:00,8,1,0,0
2024-03-11 00:00:00+00:00,9,2,0,0
2024-03-12 00:00:00+00:00,8,1,59,1
2024-03-13 00:00:00+00:00,8,1,4,1
2024-03-14 00:00:00+00:00,8,1,0,0
2024-03-15 00:00:00+00:00,10,2,0,0
2024-03-16 00:00:00+00:00,8,1,0,0
2024-03-17 00:00:00+00:00,9,2,0,0
2024-03-18 00:00:00+00:00,10,1,15,1
2024-03-19 00:00:00+00:00,8,1,0,0
2024-03-20 00:00:00+00:00,10,1,6,1
2024-03-21 00:00:00+00:00,10,1,0,0
2024-03-22 00:00:00+00:00,10,2,0,0
2024-03-23 00:00:00+00:00,8,1,0,0
2024-03-24 00:00:00+00:00,8,1,0,0
2024-03-25 00:00:00+00:00,10,1,0,0
2024-03-26 00:00:00+00:00,9,2,0,0
2024-03-27 00:00:00+00:00,9,2,14,4
2024-03-28 00:00:00+00:00,15,3,1,1
2024-03-29 00:00:00+00:00,9,1,2,2
2024-03-30 00:00:00+00:00,8,1,0,0
2024-03-31 00:00:00+00:00,8,1,0,0
2024-04-01 00:00:00+00:00,10,1,0,0
2024-04-02 00:00:00+00:00,11,2,0,0
2024-04-03 00:00:00+00:00,10,1,0,0
2024-04-04 00:00:00+00:00,8,1,0,0
2024-04-05 00:00:00+00:00,9,1,0,0
2024-04-06 00:00:00+00:00,8,1,0,0
2024-04-07 00:00:00+00:00,8,1,0,0
2024-04-08 00:00:00+00:00,8,1,2,2
2024-04-09 00:00:00+00:00,8,1,0,0
2024-04-10 00:00:00+00:00,8,1,0,0
2024-04-11 00:00:00+00:00,8,1,23,5
2024-04-12 00:00:00+00:00,10,1,4,2
2024-04-13 00:00:00+00:00,8,1,0,0
2024-04-14 00:00:00+00:00,8,1,0,0
2024-04-15 00:00:00+00:00,11,1,0,0
2024-04-16 00:00:00+00:00,8,1,0,0
2024-04-17 00:00:00+00:00,8,1,20,3
2024-04-18 00:00:00+00:00,10,1,1,1
2024-04-19 00:00:00+00:00,9,1,3,1
2024-04-20 00:00:00+00:00,27,6,14,1
2024-04-21 00:00:00+00:00,8,1,2,2
2024-04-22 00:00:00+00:00,8,1,1,1
2024-04-23 00:00:00+00:00,9,2,0,0
2024-04-24 00:00:00+00:00,8,1,1,1
2024-04-25 00:00:00+00:00,8,1,0,0
2024-04-26 00:00:00+00:00,12,2,3,1
2024-04-27 00:00:00+00:00,9,2,0,0
2024-04-28 00:00:00+00:00,8,1,3,1
2024-04-29 00:00:00+00:00,8,1,19,3
2024-04-30 00:00:00+00:00,11,2,1,1
2024-05-01 00:00:00+00:00,8,1,2,2
2024-05-02 00:00:00+00:00,9,1,13,1
2024-05-03 00:00:00+00:00,10,1,0,0
2024-05-04 00:00:00+00:00,9,2,0,0
2024-05-05 00:00:00+00:00,8,1,0,0
2024-05-06 00:00:00+00:00,9,2,0,0
2024-05-07 00:00:00+00:00,9,2,0,0
2024-05-08 00:00:00+00:00,8,1,1,1
2024-05-09 00:00:00+00:00,8,1,0,0
2024-05-10 00:00:00+00:00,10,2,0,0
2024-05-11 00:00:00+00:00,8,1,0,0
2024-05-12 00:00:00+00:00,8,1,1,1
2024-05-13 00:00:00+00:00,8,1,0,0
2024-05-14 00:00:00+00:00,8,1,23,1
2024-05-15 00:00:00+00:00,8,1,0,0
2024-05-16 00:00:00+00:00,8,1,0,0
2024-05-17 00:00:00+00:00,9,1,5,1
2024-05-18 00:00:00+00:00,8,1,0,0
2024-05-19 00:00:00+00:00,9,2,0,0
2024-05-20 00:00:00+00:00,8,1,1,1
2024-05-21 00:00:00+00:00,8,1,0,0
2024-05-22 00:00:00+00:00,8,1,0,0
2024-05-23 00:00:00+00:00,10,2,0,0
2024-05-24 00:00:00+00:00,9,1,0,0
2024-05-25 00:00:00+00:00,8,1,0,0
2024-05-26 00:00:00+00:00,9,2,0,0
